state,year,quarter,name,count,amount
andaman-&-nicobar-islands,2022,3,Recharge & bill payments,240766,97748065.63
andaman-&-nicobar-islands,2022,3,Financial Services,1814,2166304.98
andaman-&-nicobar-islands,2022,3,Others,3477,2744060.67
andaman-&-nicobar-islands,2022,4,Merchant payments,956536,906365300.66
andaman-&-nicobar-islands,2022,4,Peer-to-peer payments,768758,2961630584.83
andaman-&-nicobar-islands,2022,4,Recharge & bill payments,256050,110037119.67
andaman-&-nicobar-islands,2022,4,Financial Services,2499,3533987.23
andaman-&-nicobar-islands,2022,4,Others,3692,3107412.04
andaman-&-nicobar-islands,2023,1,Merchant payments,1122063,1008821751.0
andaman-&-nicobar-islands,2023,1,Peer-to-peer payments,862347,3299762230.0
andaman-&-nicobar-islands,2023,1,Recharge & bill payments,286024,146338470.0
andaman-&-nicobar-islands,2023,1,Financial Services,2515,3556954.0
andaman-&-nicobar-islands,2023,1,Others,3443,3049182.0
andaman-&-nicobar-islands,2023,2,Merchant payments,1410653,1159905474.0
andaman-&-nicobar-islands,2023,2,Peer-to-peer payments,970525,3664415887.0
andaman-&-nicobar-islands,2023,2,Recharge & bill payments,320922,158455723.0
andaman-&-nicobar-islands,2023,2,Financial Services,2158,4161814.0
andaman-&-nicobar-islands,2023,2,Others,3517,3405338.0
andaman-&-nicobar-islands,2023,3,Merchant payments,1657848,1289780198.0
andaman-&-nicobar-islands,2023,3,Peer-to-peer payments,1111211,3757627272.0
andaman-&-nicobar-islands,2023,3,Recharge & bill payments,323935,157992380.0
andaman-&-nicobar-islands,2023,3,Financial Services,2199,3850023.0
andaman-&-nicobar-islands,2023,3,Others,3183,2346918.0
andaman-&-nicobar-islands,2023,4,Merchant payments,2039888,1653303276.0
andaman-&-nicobar-islands,2023,4,Peer-to-peer payments,1321796,4420459049.0
andaman-&-nicobar-islands,2023,4,Recharge & bill payments,327460,185028400.0
andaman-&-nicobar-islands,2023,4,Financial Services,3276,7836466.0
andaman-&-nicobar-islands,2023,4,Others,3363,2925308.0
andaman-&-nicobar-islands,2024,1,Merchant payments,2401038,1887811915.0
andaman-&-nicobar-islands,2024,1,Peer-to-peer payments,1436380,4771886847.0
andaman-&-nicobar-islands,2024,1,Recharge & bill payments,341224,188939343.0
andaman-&-nicobar-islands,2024,1,Financial Services,3761,7962745.0
andaman-&-nicobar-islands,2024,1,Others,2517,2550985.0
andaman-&-nicobar-islands,2024,2,Merchant payments,2769052,2053269052.0
andaman-&-nicobar-islands,2024,2,Peer-to-peer payments,1513157,5033712226.0
andaman-&-nicobar-islands,2024,2,Recharge & bill payments,365214,196987648.0
andaman-&-nicobar-islands,2024,2,Financial Services,3371,9550750.0
andaman-&-nicobar-islands,2024,2,Others,2430,2260654.0
andaman-&-nicobar-islands,2024,3,Merchant payments,3158032,2132361939.0
andaman-&-nicobar-islands,2024,3,Peer-to-peer payments,1733054,5305660809.0
andaman-&-nicobar-islands,2024,3,Recharge & bill payments,382130,213105223.0
andaman-&-nicobar-islands,2024,3,Financial Services,4169,10756400.0
andaman-&-nicobar-islands,2024,3,Others,1865,1960638.0
andaman-&-nicobar-islands,2024,4,Merchant payments,3666060,2546601178.0
andaman-&-nicobar-islands,2024,4,Peer-to-peer payments,1993301,6142805445.0
andaman-&-nicobar-islands,2024,4,Recharge & bill payments,389318,214912264.0
andaman-&-nicobar-islands,2024,4,Financial Services,12889,12789955.0
andaman-&-nicobar-islands,2024,4,Others,2332,3835931.0
andhra-pradesh,2018,1,Recharge & bill payments,5027448,892293975.67
andhra-pradesh,2018,1,Peer-to-peer payments,3049646,10524250283.18
andhra-pradesh,2018,1,Merchant payments,362672,247297640.24
andhra-pradesh,2018,1,Financial Services,204305,44808449.76
andhra-pradesh,2018,1,Others,395514,287626042.97
andhra-pradesh,2018,2,Recharge & bill payments,6456387,1598591488.49
andhra-pradesh,2018,2,Peer-to-peer payments,4745000,20451493098.9
andhra-pradesh,2018,2,Merchant payments,604847,436785223.86
andhra-pradesh,2018,2,Financial Services,225621,68952114.81
andhra-pradesh,2018,2,Others,322063,328092346.58
