state,year,quarter,name,count,amount
andhra-pradesh,2020,1,prakasam district,6318396,14169104764.53
andhra-pradesh,2020,1,anantapur district,8466129,17864325752.83
andhra-pradesh,2020,1,ysr district,6031255,14059924636.82
andhra-pradesh,2020,1,west godavari district,5919670,12995834340.72
andhra-pradesh,2020,1,kurnool district,8246869,17022710311.81
andhra-pradesh,2020,1,chittoor district,13257740,23441848567.34
andhra-pradesh,2020,1,guntur district,11493331,22992734620.65
andhra-pradesh,2020,1,krishna district,12175289,24481702770.71
andhra-pradesh,2020,2,east godavari district,13130334,26319906327.32
andhra-pradesh,2020,2,srikakulam district,6425515,12153650076.88
andhra-pradesh,2020,2,spsr nellore district,9454274,20665376460.77
andhra-pradesh,2020,2,vizianagaram district,6690313,12819344389.55
andhra-pradesh,2020,2,visakhapatnam district,25300401,48293889917.41
andhra-pradesh,2020,2,prakasam district,8844580,19846026726.9
andhra-pradesh,2020,2,anantapur district,10473739,22094006659.41
andhra-pradesh,2020,2,ysr district,8033609,19597207268.13
andhra-pradesh,2020,2,west godavari district,7273096,16585866855.16
andhra-pradesh,2020,2,kurnool district,9821381,22419372061.81
andhra-pradesh,2020,2,chittoor district,14848197,27361300300.02
andhra-pradesh,2020,2,guntur district,12308707,27463593607.84
andhra-pradesh,2020,2,krishna district,12313709,26964149095.37
andhra-pradesh,2020,3,east godavari district,17972431,39300043804.76
andhra-pradesh,2020,3,srikakulam district,8286289,18029574581.34
andhra-pradesh,2020,3,spsr nellore district,16468209,39128324534.03
andhra-pradesh,2020,3,vizianagaram district,8236703,17567816576.5
andhra-pradesh,2020,3,visakhapatnam district,34421299,67628440368.11
andhra-pradesh,2020,3,prakasam district,12266310,31221704852.45
andhra-pradesh,2020,3,anantapur district,14447683,34102037972.66
andhra-pradesh,2020,3,ysr district,11934653,32037007334.13
andhra-pradesh,2020,3,west godavari district,10412351,25408608725.75
andhra-pradesh,2020,3,kurnool district,13243292,32529351107.17
andhra-pradesh,2020,3,chittoor district,20501863,42811566246.16
andhra-pradesh,2020,3,guntur district,17601395,42531195809.75
andhra-pradesh,2020,3,krishna district,19110457,44788458672.08
andhra-pradesh,2020,4,east godavari district,25989490,58732615663.12
andhra-pradesh,2020,4,srikakulam district,11092184,25222520275.28
andhra-pradesh,2020,4,spsr nellore district,20934374,49115443663.38
andhra-pradesh,2020,4,vizianagaram district,10580824,24094847668.45
andhra-pradesh,2020,4,visakhapatnam district,46551467,91879823025.4
andhra-pradesh,2020,4,prakasam district,16176867,41852443493.52
andhra-pradesh,2020,4,anantapur district,20996384,49732610814.26
andhra-pradesh,2020,4,ysr district,15676878,42572974713.44
andhra-pradesh,2020,4,west godavari district,15674762,40310975762.6
andhra-pradesh,2020,4,kurnool district,18737323,44718203115.23
andhra-pradesh,2020,4,chittoor district,29590411,61505711149.8
andhra-pradesh,2020,4,guntur district,26136538,60641872021.25
andhra-pradesh,2020,4,krishna district,27981050,64461504667.61
andhra-pradesh,2021,1,east godavari district,26190701,60027984987.97
andhra-pradesh,2021,1,srikakulam district,11160473,26486623313.09
andhra-pradesh,2021,1,spsr nellore district,22541428,52210333201.53
andhra-pradesh,2021,1,vizianagaram district,10514582,24153782497.24
andhra-pradesh,2021,1,visakhapatnam district,48248923,95308386037.85
andhra-pradesh,2021,1,prakasam district,15175395,41396223622.17
andhra-pradesh,2021,1,anantapur district,20102957,48353870395.02
andhra-pradesh,2021,1,ysr district,15374473,42570919448.5
andhra-pradesh,2021,1,west godavari district,16015685,42124030669.36
andhra-pradesh,2021,1,kurnool district,17918524,44941629659.57
andhra-pradesh,2021,1,chittoor district,29342609,60947491846.66
andhra-pradesh,2021,1,guntur district,27445045,64207987853.11
andhra-pradesh,2021,1,krishna district,29717175,69715406644.53
andhra-pradesh,2021,2,east godavari district,31717908,74604325863.66
andhra-pradesh,2021,2,srikakulam district,13546232,32298129544.54
andhra-pradesh,2021,2,spsr nellore district,30290406,72283071757.1
andhra-pradesh,2021,2,vizianagaram district,12689494,29140685236.83
andhra-pradesh,2021,2,visakhapatnam district,54390299,114439012713.35
andhra-pradesh,2021,2,prakasam district,19944047,54535328043.04
andhra-pradesh,2021,2,anantapur district,25123346,60987487571.28
andhra-pradesh,2021,2,ysr district,18457361,52523527031.02
andhra-pradesh,2021,2,west godavari district,20950964,57233116236.19
andhra-pradesh,2021,2,kurnool district,21972396,56659287475.0
andhra-pradesh,2021,2,chittoor district,34344902,73654690122.43
andhra-pradesh,2021,2,guntur district,32968819,82356914463.83
andhra-pradesh,2021,2,krishna district,36370960,90021923049.96
andhra-pradesh,2021,3,east godavari district,39572714,89380370072.71
andhra-pradesh,2021,3,srikakulam district,15639768,34836400769.88
andhra-pradesh,2021,3,spsr nellore district,34411958,77839676988.31
andhra-pradesh,2021,3,vizianagaram district,14510005,31383541628.21
andhra-pradesh,2021,3,visakhapatnam district,69220981,136945652159.27
andhra-pradesh,2021,3,prakasam district,24116580,63367713446.93
andhra-pradesh,2021,3,anantapur district,30366444,70291248155.65
andhra-pradesh,2021,3,ysr district,22439316,60683557724.65
andhra-pradesh,2021,3,west godavari district,26245039,66647238455.17
andhra-pradesh,2021,3,kurnool district,26377809,62527453761.6
andhra-pradesh,2021,3,chittoor district,42628568,89371931753.05
andhra-pradesh,2021,3,guntur district,41675093,96525353090.12
andhra-pradesh,2021,3,krishna district,44828275,104417897558.59
andhra-pradesh,2021,4,east godavari district,48992531,106725597026.0
andhra-pradesh,2021,4,srikakulam district,18501857,39713657870.16
andhra-pradesh,2021,4,spsr nellore district,41921081,92256405076.27
andhra-pradesh,2021,4,vizianagaram district,17253059,36577529464.97
andhra-pradesh,2021,4,visakhapatnam district,82711538,159530099772.73
andhra-pradesh,2021,4,prakasam district,27858275,71323060008.48
andhra-pradesh,2021,4,anantapur district,36129136,81239787006.65
andhra-pradesh,2021,4,ysr district,26340348,69081850069.2
andhra-pradesh,2021,4,west godavari district,33235175,81292461575.08
andhra-pradesh,2021,4,kurnool district,31782248,73968947669.65
andhra-pradesh,2021,4,chittoor district,51119640,103985734663.74
andhra-pradesh,2021,4,guntur district,50919286,115553993673.17
andhra-pradesh,2021,4,krishna district,55489829,125015323207.9
andhra-pradesh,2022,1,east godavari district,54738830,121067103712.8
andhra-pradesh,2022,1,srikakulam district,20990782,46898912115.65
andhra-pradesh,2022,1,spsr nellore district,47645702,104895571602.14
andhra-pradesh,2022,1,vizianagaram district,19278262,41994853361.59
andhra-pradesh,2022,1,visakhapatnam district,88233362,170120350591.26
andhra-pradesh,2022,1,prakasam district,31340975,79494373254.72
andhra-pradesh,2022,1,anantapur district,40613148,90197023268.44
andhra-pradesh,2022,1,ysr district,29783739,78421693518.91
andhra-pradesh,2022,1,west godavari district,37271259,92397939903.61
andhra-pradesh,2022,1,kurnool district,35093633,81568420500.55
andhra-pradesh,2022,1,chittoor district,58561024,117900595508.63
andhra-pradesh,2022,1,guntur district,57226996,129673727687.09
andhra-pradesh,2022,1,krishna district,61826199,139690081529.49
andhra-pradesh,2022,2,east godavari district,62072845,135531452997.64
andhra-pradesh,2022,2,srikakulam district,23727353,53754764122.43
andhra-pradesh,2022,2,spsr nellore district,54838708,121941082043.49
andhra-pradesh,2022,2,vizianagaram district,21766135,47294745020.5
andhra-pradesh,2022,2,visakhapatnam district,101387402,193242841582.14
andhra-pradesh,2022,2,prakasam district,36163507,90435082545.98
andhra-pradesh,2022,2,anantapur district,46099366,102138758015.77
andhra-pradesh,2022,2,ysr district,33154559,87601310069.6
andhra-pradesh,2022,2,west godavari district,44409239,107973244960.43
andhra-pradesh,2022,2,kurnool district,40165692,92409350855.5
andhra-pradesh,2022,2,chittoor district,67507661,136435445124.76
andhra-pradesh,2022,2,guntur district,66315749,147098141568.76
andhra-pradesh,2022,2,krishna district,73525814,163997729295.93
andhra-pradesh,2022,3,east godavari district,61467134,129677722169.75
andhra-pradesh,2022,3,srikakulam district,22126541,46899962921.79
andhra-pradesh,2022,3,spsr nellore district,42116582,95099325968.26
andhra-pradesh,2022,3,vizianagaram district,20440645,42513313394.84
andhra-pradesh,2022,3,visakhapatnam district,97434546,181124419863.61
andhra-pradesh,2022,3,prakasam district,35376080,87475230073.46
andhra-pradesh,2022,3,anantapur district,45165363,97735649608.1
andhra-pradesh,2022,3,ysr district,33119038,86016932181.12
andhra-pradesh,2022,3,west godavari district,43635951,101706854744.32
andhra-pradesh,2022,3,kurnool district,39557913,88415335176.32
andhra-pradesh,2022,3,chittoor district,65751781,133053581631.64
andhra-pradesh,2022,3,guntur district,65612317,141588522953.24
andhra-pradesh,2022,3,krishna district,71051144,153770559025.69
andhra-pradesh,2022,4,east godavari district,68016055,136531110139.86
andhra-pradesh,2022,4,srikakulam district,23693779,47726411107.89
andhra-pradesh,2022,4,spsr nellore district,42582064,92085916180.69
andhra-pradesh,2022,4,vizianagaram district,22205190,44467386404.35
andhra-pradesh,2022,4,visakhapatnam district,103790055,185306149744.73
andhra-pradesh,2022,4,prakasam district,37211077,88105031866.37
andhra-pradesh,2022,4,anantapur district,48299601,101533878537.23
andhra-pradesh,2022,4,ysr district,35201596,87360426792.82
andhra-pradesh,2022,4,west godavari district,47919930,105335724990.59
andhra-pradesh,2022,4,kurnool district,43524766,94667441029.08
andhra-pradesh,2022,4,chittoor district,70322534,136840859888.18
andhra-pradesh,2022,4,guntur district,70723763,146938735166.52
andhra-pradesh,2022,4,krishna district,76526667,157826011193.35
andhra-pradesh,2023,1,east godavari district,115196449,223454724672.0
andhra-pradesh,2023,1,srikakulam district,42209999,86486032409.0
andhra-pradesh,2023,1,spsr nellore district,71318689,143967164643.0
andhra-pradesh,2023,1,vizianagaram district,38838861,76472384525.0
andhra-pradesh,2023,1,visakhapatnam district,164358781,277211090180.0
andhra-pradesh,2023,1,prakasam district,63671149,141672839638.0
andhra-pradesh,2023,1,anantapur district,82127373,162287796625.0
andhra-pradesh,2023,1,ysr district,59768512,140117633668.0
andhra-pradesh,2023,1,west godavari district,79094558,165941144654.0
andhra-pradesh,2023,1,kurnool district,72405172,149100361797.0
andhra-pradesh,2023,1,chittoor district,120192355,218037027226.0
andhra-pradesh,2023,1,guntur district,114246185,226244225817.0
andhra-pradesh,2023,1,krishna district,122104381,238058890676.0
andhra-pradesh,2023,2,east godavari district,131243375,245134717109.0
andhra-pradesh,2023,2,srikakulam district,47633204,93082175904.0
andhra-pradesh,2023,2,spsr nellore district,82056071,165181391414.0
andhra-pradesh,2023,2,vizianagaram district,43625851,82671020353.0
andhra-pradesh,2023,2,visakhapatnam district,184918179,303874597259.0
andhra-pradesh,2023,2,prakasam district,73598725,158428689659.0
andhra-pradesh,2023,2,anantapur district,91695174,180050369328.0
andhra-pradesh,2023,2,ysr district,66809788,156231915019.0
andhra-pradesh,2023,2,west godavari district,92533269,187699526244.0
andhra-pradesh,2023,2,kurnool district,81475907,166991990104.0
andhra-pradesh,2023,2,chittoor district,136283483,245550525910.0
andhra-pradesh,2023,2,guntur district,132035450,254140764680.0
andhra-pradesh,2023,2,krishna district,141748488,267001403933.0
andhra-pradesh,2023,3,east godavari district,148701666,260414286361.0
andhra-pradesh,2023,3,srikakulam district,51382393,91818203167.0
andhra-pradesh,2023,3,spsr nellore district,93875073,176593750929.0
andhra-pradesh,2023,3,vizianagaram district,47856766,83289704541.0
andhra-pradesh,2023,3,visakhapatnam district,209884966,328927220951.0
andhra-pradesh,2023,3,prakasam district,84447202,171207298619.0
andhra-pradesh,2023,3,anantapur district,104539628,192477441164.0
andhra-pradesh,2023,3,ysr district,76091693,168218516193.0
andhra-pradesh,2023,3,west godavari district,102962058,191891823401.0
andhra-pradesh,2023,3,kurnool district,92890445,172979053545.0
andhra-pradesh,2023,3,chittoor district,152863845,265404757144.0
andhra-pradesh,2023,3,guntur district,150246761,270651818044.0
andhra-pradesh,2023,3,krishna district,159421907,279540224039.0
andhra-pradesh,2023,4,east godavari district,162793144,282329255747.0
andhra-pradesh,2023,4,srikakulam district,56291337,97021746702.0
andhra-pradesh,2023,4,spsr nellore district,97721962,179306028468.0
andhra-pradesh,2023,4,vizianagaram district,53248760,90289502507.0
andhra-pradesh,2023,4,visakhapatnam district,223584765,344512874812.0
andhra-pradesh,2023,4,prakasam district,89721677,174929737360.0
andhra-pradesh,2023,4,anantapur district,113698752,203367177888.0
andhra-pradesh,2023,4,ysr district,83729195,176644897379.0
andhra-pradesh,2023,4,west godavari district,114825704,209237892746.0
andhra-pradesh,2023,4,kurnool district,103816175,190597527675.0
andhra-pradesh,2023,4,chittoor district,163521593,274132458092.0
andhra-pradesh,2023,4,guntur district,160724947,281806839570.0
andhra-pradesh,2023,4,krishna district,173309415,298339038877.0
andhra-pradesh,2024,1,east godavari district,179489444,306324309402.0
andhra-pradesh,2024,1,srikakulam district,66267698,118669200655.0
andhra-pradesh,2024,1,spsr nellore district,108549115,190803645040.0
andhra-pradesh,2024,1,vizianagaram district,61170983,105672797741.0
andhra-pradesh,2024,1,visakhapatnam district,238418938,363341573689.0
andhra-pradesh,2024,1,prakasam district,99550457,187480623851.0
andhra-pradesh,2024,1,anantapur district,125240418,212681689201.0
andhra-pradesh,2024,1,ysr district,94211451,190227479302.0
andhra-pradesh,2024,1,west godavari district,127602250,228733104931.0
andhra-pradesh,2024,1,kurnool district,115036343,204805909023.0
andhra-pradesh,2024,1,chittoor district,179903083,289620567340.0
andhra-pradesh,2024,1,guntur district,173636233,297371276946.0
andhra-pradesh,2024,1,krishna district,186352072,316993492628.0
andhra-pradesh,2024,2,east godavari district,197431466,319787453310.0
andhra-pradesh,2024,2,srikakulam district,70555405,119668161926.0
andhra-pradesh,2024,2,spsr nellore district,121146667,208460354672.0
andhra-pradesh,2024,2,vizianagaram district,64618416,106767080307.0
andhra-pradesh,2024,2,visakhapatnam district,260339876,378402015204.0
andhra-pradesh,2024,2,prakasam district,112437837,202731369689.0
andhra-pradesh,2024,2,anantapur district,136536485,225723880453.0
andhra-pradesh,2024,2,ysr district,103280919,200094107316.0
andhra-pradesh,2024,2,west godavari district,143617131,249493284812.0
andhra-pradesh,2024,2,kurnool district,127978397,213990808953.0
andhra-pradesh,2024,2,chittoor district,194201427,307619765473.0
andhra-pradesh,2024,2,guntur district,191134818,314056718623.0
andhra-pradesh,2024,2,krishna district,206843456,335127419350.0
andhra-pradesh,2024,3,east godavari district,85529302,134055222841.0
andhra-pradesh,2024,3,srikakulam district,62184993,97813235035.0
andhra-pradesh,2024,3,visakhapatnam district,213106280,290036726818.0
andhra-pradesh,2024,3,sri potti sriramulu nellore district,106917876,175836307089.0
andhra-pradesh,2024,3,kurnool district,76743327,116585260974.0
andhra-pradesh,2024,3,guntur district,127566851,190039358188.0
andhra-pradesh,2024,3,krishna district,53171206,79983950321.0
andhra-pradesh,2024,3,annamayya district,62848984,112657755790.0
andhra-pradesh,2024,3,ananthapuramu district,91820629,142914453423.0
andhra-pradesh,2024,3,vizianagaram district,62554001,95045716716.0
andhra-pradesh,2024,3,tirupati district,149968579,211447552571.0
andhra-pradesh,2024,3,alluri sitharama raju district,13047314,17711034657.0
